,Y
10812,0
8643,1
5931,0
7188,0
6279,0
6288,1
2533,1
7976,1
5112,0
12547,0
3220,0
628,0
5943,0
5350,1
8875,1
12662,1
8214,0
6033,1
7896,1
12426,1
10366,0
1667,0
9138,0
6520,1
10265,0
2849,0
9963,0
6477,0
12612,1
11899,1
4993,0
9135,1
8821,0
422,1
5921,1
7274,1
6053,1
7196,0
7105,0
11091,1
4561,0
5292,0
9581,1
8242,1
10773,1
6139,1
10559,1
11828,0
8148,1
10730,1
1514,0
11584,1
4413,0
7772,1
2888,0
10639,0
8866,0
1215,1
6652,1
8022,1
2890,1
728,1
394,1
4439,1
379,0
85,0
10544,0
11469,0
7622,0
2223,1
2623,1
342,0
6547,1
9698,1
614,1
11566,1
10744,0
3240,1
2594,1
1748,1
3188,0
11732,1
9322,0
12301,1
9933,1
2972,0
8450,1
9634,0
1833,1
10510,1
10594,0
4629,0
384,1
6487,0
2192,1
617,1
8228,0
8304,0
6920,1
6104,0
11352,1
8206,0
8334,0
12213,0
5415,1
9315,1
585,0
11594,1
8785,1
1453,1
10055,0
2862,0
9510,1
6916,1
8400,1
5164,0
5431,1
5543,0
7800,0
5126,0
9575,0
2639,1
8023,0
6268,1
2729,0
5207,0
5660,0
10343,1
7639,0
6726,0
2146,1
7127,0
3941,1
944,0
5194,0
7693,1
8771,0
2055,1
3705,1
10985,1
10282,1
12086,1
2666,1
11729,0
4107,1
10347,0
9869,1
5122,0
4527,1
10004,0
5148,0
3376,0
11107,0
7254,0
5602,1
4344,1
6071,1
11427,1
7804,0
9416,0
8522,0
9773,0
4804,1
2872,1
5997,1
4655,1
6354,1
2075,1
6290,0
11216,0
10829,1
1791,1
9421,1
1566,0
2734,1
2986,1
8711,0
8555,0
8556,0
1900,1
8929,0
9739,1
5258,0
1424,0
5159,1
7487,1
6812,0
5991,0
11023,1
12097,1
11295,0
10078,1
7663,1
635,1
12377,1
4428,1
6556,1
10662,1
6593,0
4937,1
1422,0
7241,0
9072,1
11902,1
12288,0
5055,1
9728,0
12376,1
8154,1
489,1
10593,0
9261,0
2271,1
11731,0
6975,1
9861,1
8078,0
2560,1
6953,1
8174,1
12519,1
263,0
7310,0
4070,1
658,0
1462,1
771,1
5384,0
2002,1
4358,0
4891,0
8225,0
3125,1
4544,0
5455,1
8972,0
3200,0
9664,1
10699,1
10991,1
6574,0
8879,1
8321,0
8563,0
7258,1
4546,1
9353,0
11333,1
9439,0
8517,0
8881,1
7937,1
6032,0
4301,1
7849,0
7337,1
6918,0
6839,0
8339,0
6681,1
12625,0
10949,0
11254,0
1427,0
7819,1
9474,1
12026,1
3177,0
509,1
10267,0
6143,0
7527,0
10642,1
456,1
12391,0
1257,1
1920,1
8265,1
6969,1
11258,1
8315,1
7602,1
4847,0
11816,1
12321,0
5138,0
5622,0
3656,1
6646,1
5398,1
2250,0
11182,1
11444,0
1247,0
1644,1
1210,1
10675,0
1353,0
3646,1
4612,1
12389,1
341,1
5818,1
4324,1
3594,1
9851,0
12456,0
7238,0
7606,1
1066,1
11859,0
9399,1
7574,0
3753,1
4254,0
6875,1
11010,1
